order_id,product_id,timestamp,quantity,discount_applied,customer_rating
ORD-0000001,PRD-0381,2026-01-31 07:00:00,4,0.05,5
ORD-0000002,PRD-0403,2026-07-27 07:00:00,2,0.05,4
ORD-0000003,PRD-0036,2026-04-30 06:00:00,4,0.05,5
ORD-0000004,PRD-0285,2026-05-16 03:00:00,3,0.0,1
ORD-0000005,PRD-0188,2026-01-28 00:00:00,1,0.1,5
ORD-0000006,PRD-0082,2026-08-01 07:00:00,4,0.0,4
ORD-0000007,PRD-0002,2026-08-23 01:00:00,3,0.0,5
ORD-0000008,PRD-0385,2026-04-25 01:00:00,3,0.1,5
ORD-0000009,PRD-0303,2026-08-26 20:00:00,4,0.05,1
ORD-0000010,PRD-0197,2026-04-25 11:00:00,1,0.1,4
ORD-0000011,PRD-0404,2026-02-12 01:00:00,4,0.0,3
ORD-0000012,PRD-0011,2026-03-06 14:00:00,2,0.0,3
ORD-0000013,PRD-0234,2026-02-03 11:00:00,4,0.2,5
ORD-0000014,PRD-0386,2026-06-20 00:00:00,4,0.0,4
ORD-0000015,PRD-0195,2026-06-29 13:00:00,1,0.1,4
ORD-0000016,PRD-0471,2026-06-27 16:00:00,4,0.1,4
ORD-0000017,PRD-0119,2026-05-22 17:00:00,3,0.05,5
ORD-0000018,PRD-0396,2026-07-31 09:00:00,1,0.0,5
ORD-0000019,PRD-0020,2026-08-15 00:00:00,3,0.05,4
ORD-0000020,PRD-0261,2026-06-26 17:00:00,1,0.1,5
ORD-0000021,PRD-0293,2026-07-12 03:00:00,2,0.0,5
ORD-0000022,PRD-0422,2026-05-12 17:00:00,2,0.0,2
ORD-0000023,PRD-0256,2026-07-09 12:00:00,2,0.0,5
ORD-0000024,PRD-0222,2026-06-23 03:00:00,4,0.0,4
ORD-0000025,PRD-0393,2026-01-22 23:00:00,2,0.1,3
ORD-0000026,PRD-0226,2026-05-18 10:00:00,1,0.1,5
ORD-0000027,PRD-0053,2026-02-12 15:00:00,2,0.2,4
ORD-0000028,PRD-0428,2026-08-24 20:00:00,1,0.0,5
ORD-0000029,PRD-0355,2026-06-05 14:00:00,3,0.05,1
ORD-0000030,PRD-0500,2026-08-05 14:00:00,4,0.0,2
ORD-0000031,PRD-0342,2026-01-19 00:00:00,3,0.05,5
ORD-0000032,PRD-0364,2026-02-19 00:00:00,3,0.05,5
ORD-0000033,PRD-0280,2026-01-17 16:00:00,2,0.2,5
ORD-0000034,PRD-0081,2026-03-29 16:00:00,2,0.1,4
ORD-0000035,PRD-0202,2026-05-08 02:00:00,2,0.2,5
ORD-0000036,PRD-0158,2026-04-04 01:00:00,3,0.1,5
ORD-0000037,PRD-0120,2026-04-12 21:00:00,4,0.1,4
ORD-0000038,PRD-0059,2026-07-15 20:00:00,4,0.0,5
ORD-0000039,PRD-0494,2026-04-29 03:00:00,3,0.1,5
ORD-0000040,PRD-0215,2026-08-20 15:00:00,4,0.05,2
ORD-0000041,PRD-0128,2026-04-15 17:00:00,3,0.0,4
ORD-0000042,PRD-0224,2026-03-15 21:00:00,3,0.0,2
ORD-0000043,PRD-0209,2026-08-24 09:00:00,4,0.05,5
ORD-0000044,PRD-0370,2026-02-15 16:00:00,1,0.0,4
ORD-0000045,PRD-0115,2026-02-08 16:00:00,1,0.0,5
ORD-0000046,PRD-0209,2026-03-23 07:00:00,2,0.05,4
ORD-0000047,PRD-0014,2026-03-24 05:00:00,4,0.2,5
ORD-0000048,PRD-0009,2026-03-06 18:00:00,2,0.1,4
ORD-0000049,PRD-0040,2026-04-26 18:00:00,3,0.0,5
ORD-0000050,PRD-0450,2026-07-04 05:00:00,1,0.0,3
ORD-0000051,PRD-0237,2026-02-11 10:00:00,4,0.0,5
ORD-0000052,PRD-0281,2026-01-26 12:00:00,4,0.0,5
ORD-0000053,PRD-0359,2026-04-19 01:00:00,4,0.0,5
ORD-0000054,PRD-0201,2026-01-25 19:00:00,1,0.2,2
ORD-0000055,PRD-0246,2026-07-29 00:00:00,2,0.0,4
ORD-0000056,PRD-0278,2026-02-05 01:00:00,1,0.0,5
ORD-0000057,PRD-0235,2026-08-10 17:00:00,2,0.0,3
ORD-0000058,PRD-0494,2026-07-04 23:00:00,3,0.0,3
ORD-0000059,PRD-0004,2026-02-05 18:00:00,3,0.0,5
ORD-0000060,PRD-0154,2026-08-18 23:00:00,2,0.0,4
ORD-0000061,PRD-0442,2026-01-19 12:00:00,3,0.2,4
ORD-0000062,PRD-0029,2026-03-16 12:00:00,3,0.0,5
ORD-0000063,PRD-0109,2026-06-29 21:00:00,4,0.0,4
ORD-0000064,PRD-0098,2026-05-24 22:00:00,4,0.0,3
ORD-0000065,PRD-0215,2026-06-14 16:00:00,1,0.0,5
ORD-0000066,PRD-0293,2026-07-15 07:00:00,1,0.0,4
ORD-0000067,PRD-0075,2026-02-12 22:00:00,1,0.0,5
ORD-0000068,PRD-0326,2026-02-23 23:00:00,4,0.0,3
ORD-0000069,PRD-0146,2026-08-02 01:00:00,1,0.05,5
ORD-0000070,PRD-0128,2026-03-27 23:00:00,1,0.0,4
ORD-0000071,PRD-0341,2026-03-02 07:00:00,4,0.0,4
ORD-0000072,PRD-0042,2026-03-27 05:00:00,2,0.0,4
ORD-0000073,PRD-0356,2026-07-12 11:00:00,4,0.0,1
ORD-0000074,PRD-0041,2026-04-29 18:00:00,2,0.0,5
ORD-0000075,PRD-0422,2026-06-09 08:00:00,4,0.0,4
ORD-0000076,PRD-0034,2026-03-28 04:00:00,1,0.0,5
ORD-0000077,PRD-0017,2026-06-06 17:00:00,3,0.0,5
ORD-0000078,PRD-0165,2026-04-05 19:00:00,3,0.0,5
ORD-0000079,PRD-0153,2026-03-17 08:00:00,2,0.0,4
ORD-0000080,PRD-0486,2026-02-24 15:00:00,2,0.0,4
ORD-0000081,PRD-0378,2026-06-18 23:00:00,2,0.2,5
ORD-0000082,PRD-0076,2026-08-14 02:00:00,3,0.05,5
ORD-0000083,PRD-0087,2026-04-13 03:00:00,2,0.1,5
ORD-0000084,PRD-0117,2026-02-15 09:00:00,4,0.1,4
ORD-0000085,PRD-0362,2026-03-11 16:00:00,4,0.2,5
ORD-0000086,PRD-0342,2026-06-03 03:00:00,3,0.05,5
ORD-0000087,PRD-0469,2026-07-08 20:00:00,4,0.05,4
ORD-0000088,PRD-0027,2026-07-25 04:00:00,2,0.0,5
ORD-0000089,PRD-0313,2026-07-01 10:00:00,3,0.0,4
ORD-0000090,PRD-0287,2026-03-25 11:00:00,2,0.05,1
ORD-0000091,PRD-0134,2026-06-24 22:00:00,4,0.2,5
ORD-0000092,PRD-0219,2026-08-01 00:00:00,2,0.0,3
ORD-0000093,PRD-0168,2026-07-22 16:00:00,3,0.05,5
ORD-0000094,PRD-0098,2026-02-16 20:00:00,2,0.0,4
ORD-0000095,PRD-0268,2026-02-20 21:00:00,4,0.0,4
ORD-0000096,PRD-0237,2026-04-30 04:00:00,1,0.0,4
ORD-0000097,PRD-0309,2026-04-05 17:00:00,3,0.0,5
ORD-0000098,PRD-0455,2026-05-05 14:00:00,2,0.0,4
ORD-0000099,PRD-0394,2026-04-15 14:00:00,3,0.05,3
ORD-0000100,PRD-0173,2026-01-10 20:00:00,2,0.1,5
ORD-0000101,PRD-0401,2026-02-17 16:00:00,1,0.1,4
ORD-0000102,PRD-0410,2026-05-16 13:00:00,4,0.0,3
ORD-0000103,PRD-0469,2026-06-07 14:00:00,2,0.1,2
ORD-0000104,PRD-0476,2026-02-01 22:00:00,2,0.0,1
ORD-0000105,PRD-0190,2026-04-22 17:00:00,1,0.0,4
ORD-0000106,PRD-0122,2026-07-31 22:00:00,3,0.05,4
ORD-0000107,PRD-0046,2026-04-22 01:00:00,4,0.0,3
ORD-0000108,PRD-0064,2026-03-15 07:00:00,2,0.0,5
ORD-0000109,PRD-0130,2026-05-26 11:00:00,2,0.0,3
ORD-0000110,PRD-0310,2026-04-28 07:00:00,4,0.05,5
ORD-0000111,PRD-0363,2026-05-27 09:00:00,1,0.0,5
ORD-0000112,PRD-0193,2026-01-21 15:00:00,3,0.05,1
ORD-0000113,PRD-0307,2026-08-03 07:00:00,4,0.05,5
ORD-0000114,PRD-0181,2026-05-13 12:00:00,3,0.05,4
ORD-0000115,PRD-0292,2026-08-31 14:00:00,1,0.1,4
ORD-0000116,PRD-0371,2026-06-13 18:00:00,1,0.0,4
ORD-0000117,PRD-0282,2026-03-28 08:00:00,4,0.0,5
ORD-0000118,PRD-0029,2026-01-15 01:00:00,2,0.0,4
ORD-0000119,PRD-0149,2026-06-14 13:00:00,1,0.0,3
ORD-0000120,PRD-0267,2026-05-10 12:00:00,1,0.05,3
ORD-0000121,PRD-0296,2026-03-17 17:00:00,4,0.0,5
ORD-0000122,PRD-0011,2026-01-06 16:00:00,4,0.0,4
ORD-0000123,PRD-0164,2026-04-17 11:00:00,4,0.05,3
ORD-0000124,PRD-0113,2026-07-03 23:00:00,1,0.05,4
ORD-0000125,PRD-0187,2026-02-08 03:00:00,3,0.05,5
ORD-0000126,PRD-0295,2026-08-09 21:00:00,1,0.1,4
ORD-0000127,PRD-0232,2026-05-28 10:00:00,4,0.05,4
ORD-0000128,PRD-0227,2026-07-29 05:00:00,2,0.05,5
ORD-0000129,PRD-0310,2026-03-29 12:00:00,2,0.0,3
ORD-0000130,PRD-0098,2026-05-02 03:00:00,4,0.2,5
ORD-0000131,PRD-0055,2026-05-02 10:00:00,2,0.0,5
ORD-0000132,PRD-0111,2026-08-12 02:00:00,1,0.0,5
ORD-0000133,PRD-0152,2026-03-24 14:00:00,3,0.0,2
ORD-0000134,PRD-0246,2026-06-11 06:00:00,1,0.05,4
ORD-0000135,PRD-0406,2026-07-08 16:00:00,4,0.2,3
ORD-0000136,PRD-0069,2026-05-29 15:00:00,1,0.0,5
ORD-0000137,PRD-0312,2026-02-11 14:00:00,2,0.0,5
ORD-0000138,PRD-0289,2026-03-31 11:00:00,1,0.1,4
ORD-0000139,PRD-0250,2026-07-31 21:00:00,3,0.2,5
ORD-0000140,PRD-0036,2026-07-15 14:00:00,2,0.0,5
ORD-0000141,PRD-0239,2026-01-17 11:00:00,3,0.0,4
ORD-0000142,PRD-0148,2026-05-30 22:00:00,3,0.05,3
ORD-0000143,PRD-0467,2026-07-07 22:00:00,3,0.0,1
ORD-0000144,PRD-0227,2026-02-09 02:00:00,1,0.1,4
ORD-0000145,PRD-0244,2026-03-10 04:00:00,1,0.0,5
ORD-0000146,PRD-0491,2026-04-24 12:00:00,1,0.0,5
ORD-0000147,PRD-0337,2026-04-15 14:00:00,1,0.0,3
ORD-0000148,PRD-0446,2026-07-13 04:00:00,2,0.0,4
ORD-0000149,PRD-0365,2026-03-10 17:00:00,1,0.0,4
ORD-0000150,PRD-0491,2026-06-03 18:00:00,2,0.0,5
ORD-0000151,PRD-0482,2026-05-24 03:00:00,3,0.05,5
ORD-0000152,PRD-0201,2026-05-14 09:00:00,2,0.0,5
ORD-0000153,PRD-0154,2026-06-24 03:00:00,4,0.2,5
ORD-0000154,PRD-0450,2026-07-01 22:00:00,1,0.0,2
ORD-0000155,PRD-0073,2026-04-06 11:00:00,4,0.05,4
ORD-0000156,PRD-0201,2026-07-06 19:00:00,2,0.0,5
ORD-0000157,PRD-0296,2026-01-09 21:00:00,1,0.0,2
ORD-0000158,PRD-0017,2026-05-15 21:00:00,4,0.0,5
ORD-0000159,PRD-0129,2026-06-10 22:00:00,1,0.0,4
ORD-0000160,PRD-0217,2026-01-03 10:00:00,2,0.05,5
ORD-0000161,PRD-0061,2026-08-27 09:00:00,4,0.05,5
ORD-0000162,PRD-0427,2026-05-03 02:00:00,2,0.05,5
ORD-0000163,PRD-0104,2026-07-25 18:00:00,4,0.0,5
ORD-0000164,PRD-0042,2026-05-04 19:00:00,3,0.1,4
ORD-0000165,PRD-0025,2026-03-05 15:00:00,3,0.05,5
