product_id,category,base_price,raw_description,image_path
PRD-0001,Fashion,257.57,"Super okazja! Produkt PRD-0001. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0001.jpg
PRD-0002,Industrial,414.96,"Super okazja! Produkt PRD-0002. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0002.jpg
PRD-0003,Automotive,166.82,"Super okazja! Produkt PRD-0003. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0003.jpg
PRD-0004,Industrial,448.81,"Super okazja! Produkt PRD-0004. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0004.jpg
PRD-0005,Industrial,200.71,"Super okazja! Produkt PRD-0005. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0005.jpg
PRD-0006,Home & Kitchen,15.31,"Super okazja! Produkt PRD-0006. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0006.jpg
PRD-0007,Automotive,453.64,"Super okazja! Produkt PRD-0007. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0007.jpg
PRD-0008,Automotive,54.73,"Super okazja! Produkt PRD-0008. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0008.jpg
PRD-0009,Automotive,166.46,"Super okazja! Produkt PRD-0009. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0009.jpg
PRD-0010,Industrial,475.53,"Super okazja! Produkt PRD-0010. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0010.jpg
PRD-0011,Fashion,475.8,"Super okazja! Produkt PRD-0011. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0011.jpg
PRD-0012,Automotive,290.98,"Super okazja! Produkt PRD-0012. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0012.jpg
PRD-0013,Industrial,319.6,"Super okazja! Produkt PRD-0013. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0013.jpg
PRD-0014,Home & Kitchen,229.74,"Super okazja! Produkt PRD-0014. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0014.jpg
PRD-0015,Fashion,153.67,"Super okazja! Produkt PRD-0015. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0015.jpg
PRD-0016,Home & Kitchen,171.05,"Super okazja! Produkt PRD-0016. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0016.jpg
PRD-0017,Fashion,339.53,"Super okazja! Produkt PRD-0017. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0017.jpg
PRD-0018,Industrial,378.66,"Super okazja! Produkt PRD-0018. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0018.jpg
PRD-0019,Electronics,397.87,"Super okazja! Produkt PRD-0019. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0019.jpg
PRD-0020,Fashion,396.91,"Super okazja! Produkt PRD-0020. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0020.jpg
PRD-0021,Home & Kitchen,54.69,"Super okazja! Produkt PRD-0021. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0021.jpg
PRD-0022,Industrial,252.27,"Super okazja! Produkt PRD-0022. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0022.jpg
PRD-0023,Fashion,38.2,"Super okazja! Produkt PRD-0023. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0023.jpg
PRD-0024,Electronics,279.27,"Super okazja! Produkt PRD-0024. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0024.jpg
PRD-0025,Electronics,226.35,"Super okazja! Produkt PRD-0025. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0025.jpg
PRD-0026,Automotive,444.98,"Super okazja! Produkt PRD-0026. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0026.jpg
PRD-0027,Automotive,181.95,"Super okazja! Produkt PRD-0027. Stan idealny, szybka wysyłka. Idealne do domowego użytku.",data/raw/images/img_0027.jpg
